"NCT","title_old","key","title","notes","decision","n_include","n_exclude","n_maybe","n_decisions","to_screen","final_decision","final_decision_conflict"
"NCT03672279","Validation of a Novel Self-Administered Cognitive Assessment Tool (CogCheck) in Patients With Mild and Major Neurocognitive Disorder Predominantly Due to Alzheimer's Disease; Validation of a Novel Self-Administered Cognitive Assessment Tool (CogCheck) in Patients With Mild and Major Neurocognitive Disorder Predominantly Due to Alzheimer's Disease","rayyan-325728185","Validation of a Novel Self-Administered Cognitive Assessment Tool (CogCheck) in Patients With Mild and Major Neurocognitive Disorder Predominantly Due to Alzheimer's Disease; Validation of a Novel Self-Administered Cognitive Assessment Tool (CogCheck) in Patients With Mild and Major Neurocognitive Disorder Predominantly Due to Alzheimer's Disease","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Diagnostic,validation,clinical score | USER-NOTES: {""Rex""=>[""DECISION:INCLUDE""]}","""Nicole""=>""Excluded"", ""dn.borg""=>""Included"", ""Rex""=>[""DECISION:INCLUDE""]",1,1,0,2,0,"Include","Include"
"NCT03682783","The Development of Artificial Intelligence-assisted Glaucoma Screening Program; Artificial Intelligence-assisted Glaucoma Screening (AIAGS)","rayyan-325728187","The Development of Artificial Intelligence-assisted Glaucoma Screening Program; Artificial Intelligence-assisted Glaucoma Screening (AIAGS)","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: diagnosis,Diagnostic,Development,development","""Nicole""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT03693378","A Prospective; Multi-center Investigational Study of IMMrayâ„¢ PanCan-d Diagnostic Assay for Early Detection of Pancreatic Ductal Adenocarcinoma in High-risk Populations; A Study of IMMrayâ„¢ PanCan-d Test for Early Detection of Pancreatic Cancer in High-risk Groups","rayyan-325728188","A Prospective; Multi-center Investigational Study of IMMrayÃ¢â€žÂ¢ PanCan-d Diagnostic Assay for Early Detection of Pancreatic Ductal Adenocarcinoma in High-risk Populations; A Study of IMMrayÃ¢â€žÂ¢ PanCan-d Test for Early Detection of Pancreatic Cancer in High-risk Groups","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Diagnostic,validation,clinical score | USER-NOTES: {""Rex""=>[""DECISION:INCLUDE""]}","""Nicole""=>""Excluded"", ""dn.borg""=>""Included"", ""Rex""=>[""DECISION:INCLUDE""]",1,1,0,2,0,"Include","Include"
"NCT03720522","The Bern Heart and Brain Interaction Study - Interaction Between Brain and Heart in Acute Ischemic Stroke; The Bern Heart and Brain Interaction Study - Interaction Between Brain and Heart in Acute Ischemic Stroke","rayyan-325728189","The Bern Heart and Brain Interaction Study - Interaction Between Brain and Heart in Acute Ischemic Stroke; The Bern Heart and Brain Interaction Study - Interaction Between Brain and Heart in Acute Ischemic Stroke","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: diagnosis,Diagnostic,Development,development","""Nicole""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT03731936","Artificial Intelligence to Assess the Association Between Facial Characteristics and Coronary Artery Diseases; Artificial Intelligence to Assess the Association Between Facial Characteristics and Coronary Artery Diseases","rayyan-325728192","Artificial Intelligence to Assess the Association Between Facial Characteristics and Coronary Artery Diseases; Artificial Intelligence to Assess the Association Between Facial Characteristics and Coronary Artery Diseases","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: diagnosis,Diagnostic,Development,development","""Nicole""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT03753724","IDEAL: Artificial Intelligence and Big Data for Early Lung Cancer Diagnosis Prospective Study (Phase 2); IDEAL: Artificial Intelligence and Big Data for Early Lung Cancer Diagnosis Study","rayyan-325728193","IDEAL: Artificial Intelligence and Big Data for Early Lung Cancer Diagnosis Prospective Study (Phase 2); IDEAL: Artificial Intelligence and Big Data for Early Lung Cancer Diagnosis Study","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: diagnosis,Diagnostic,validation,Development,multiple designs","""Nicole""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT03784209","Automatic Real-time Diagnosis of Gastric Mucosal Disease Using Probe-based Confocal Laser Endomicroscopy With Artificial Intelligence; Automatic Real-time Diagnosis of Gastric Mucosal Disease Using pCLE With Artificial Intelligence","rayyan-325728195","Automatic Real-time Diagnosis of Gastric Mucosal Disease Using Probe-based Confocal Laser Endomicroscopy With Artificial Intelligence; Automatic Real-time Diagnosis of Gastric Mucosal Disease Using pCLE With Artificial Intelligence","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""} | RAYYAN-LABELS: diagnosis,Diagnostic,validation,Development,development | USER-NOTES: {""dn.borg""=>[""Not enough info?""]}","""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe"", ""dn.borg""=>[""Not enough info?""]",2,0,1,2,0,"Include","Include"
"NCT03797755","Prospective Observational Study of the Prognosis of Patients Having Palliative Radiotherapy; Prognosis of Patient Evaluated for Palliative Radiotherapy","rayyan-325728198","Prospective Observational Study of the Prognosis of Patients Having Palliative Radiotherapy; Prognosis of Patient Evaluated for Palliative Radiotherapy","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""} | RAYYAN-LABELS: Prognosis,prognosis,validation,Development","""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""",2,0,1,2,0,"Include","Include"
"NCT03839095","Localized Osteosarcoma of Extremities: Developing a Clinical Prediction Model From a Country With Limited Resources; Localized Osteosarcoma in Upper Egypt: A Clinical Prediction Model","rayyan-325728199","Localized Osteosarcoma of Extremities: Developing a Clinical Prediction Model From a Country With Limited Resources; Localized Osteosarcoma in Upper Egypt: A Clinical Prediction Model","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Prognosis,prognosis,Development,development","""Nicole""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT03842150","Development and Validation of a Screening Score for the Biliary Atresia in Infantile Cholestasis: A Prospective Study; Development and Validation of a Screening Score for the Biliary Atresia in Infantile Cholestasis: A Prospective Study","rayyan-325728200","Development and Validation of a Screening Score for the Biliary Atresia in Infantile Cholestasis: A Prospective Study; Development and Validation of a Screening Score for the Biliary Atresia in Infantile Cholestasis: A Prospective Study","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""} | RAYYAN-LABELS: diagnosis,validation,development | RAYYAN-EXCLUSION-REASONS: wrong study design","""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""",2,0,1,2,0,"Include","Include"
"NCT03850457","The Incidence; Risk Factors; Diagnosis; Treatments and Burden of Bronchopulmonary Dysplasia (BPD) Among Very Preterm Infants in China: A Nationwide Prospective Cohort Study.; Epidemiological Study for Bronchopulmonary Dysplasia (BPD) in China","rayyan-325728201","The Incidence; Risk Factors; Diagnosis; Treatments and Burden of Bronchopulmonary Dysplasia (BPD) Among Very Preterm Infants in China: A Nationwide Prospective Cohort Study.; Epidemiological Study for Bronchopulmonary Dysplasia (BPD) in China","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""} | RAYYAN-LABELS: diagnosis,Diagnostic,Development,development,multiple designs","""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""",2,0,1,2,0,"Include","Include"
"NCT03862378","Prediction of Intra-abdominal Infectious Complication by Drainage Fluid Analysis After Gastrointestinal Cancer Surgery; Prediction of Intra-abdominal Infectious Complication by Drainage Fluid Analysis","rayyan-325728204","Prediction of Intra-abdominal Infectious Complication by Drainage Fluid Analysis After Gastrointestinal Cancer Surgery; Prediction of Intra-abdominal Infectious Complication by Drainage Fluid Analysis","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""} | RAYYAN-LABELS: Prognosis,Diagnostic,Validation,validation | USER-NOTES: {""dn.borg""=>[""Is this validation? prospective cohort""]}","""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe"", ""dn.borg""=>[""Is this validation? prospective cohort""]",2,0,1,2,0,"Include","Include"
"NCT03880110","Combination of Biomarkers; Urine Sedimentation and Renal Resistive Index for Early Prediction of Acute Kidney Injury in High Risk Patients After Non-cardiac Surgery: a Prospective Observational Cohort Study; Early Prediction of Acute Kidney Injury in High Risk Patients After Non-cardiac Surgery","rayyan-325728207","Combination of Biomarkers; Urine Sedimentation and Renal Resistive Index for Early Prediction of Acute Kidney Injury in High Risk Patients After Non-cardiac Surgery: a Prospective Observational Cohort Study; Early Prediction of Acute Kidney Injury in High Risk Patients After Non-cardiac Surgery","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Prognosis,diagnosis,Development,development | USER-NOTES: {""dn.borg""=>[""Validation not described so I marked as no.""]}","""Nicole""=>""Included"", ""dn.borg""=>""Included"", ""dn.borg""=>[""Validation not described so I marked as no.""]",2,0,0,2,0,"Include","Include"
"NCT03885570","Establishment of AI Prediction Model of Blood Transfusion Management in Patients With Mitral Valve Replacement; Blood Transfusion Management in Patients With Mitral Valve Replacement in China","rayyan-325728208","Establishment of AI Prediction Model of Blood Transfusion Management in Patients With Mitral Valve Replacement; Blood Transfusion Management in Patients With Mitral Valve Replacement in China","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Prognosis,Development,development","""Nicole""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT03899350","The Influencing Factors and Prediction Model of Poor Prognosis of Spontaneous Cerebral Hemorrhage; The Influencing Factors and Prediction Model of Poor Prognosis of Spontaneous Cerebral Hemorrhage","rayyan-325728209","The Influencing Factors and Prediction Model of Poor Prognosis of Spontaneous Cerebral Hemorrhage; The Influencing Factors and Prediction Model of Poor Prognosis of Spontaneous Cerebral Hemorrhage","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""} | RAYYAN-LABELS: Prognosis,Development,development,multiple designs | USER-NOTES: {""dn.borg""=>[""Is there enough info for this one?""]}","""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe"", ""dn.borg""=>[""Is there enough info for this one?""]",2,0,1,2,0,"Include","Include"
"NCT03911323","A Prospective Clinical Study on the Real-world Diagnostic Effectiveness of Artificial Intelligence Algorithm in Diabetic Retinopathy Screening; Real-world Diagnostic Effectiveness of Artificial Intelligence Algorithm in Diabetic Retinopathy Screening","rayyan-325728210","A Prospective Clinical Study on the Real-world Diagnostic Effectiveness of Artificial Intelligence Algorithm in Diabetic Retinopathy Screening; Real-world Diagnostic Effectiveness of Artificial Intelligence Algorithm in Diabetic Retinopathy Screening","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: diagnosis,Diagnostic,Validation,validation,Development | USER-NOTES: {""dn.borg""=>[""Validated against gold standard.""]}","""Nicole""=>""Included"", ""dn.borg""=>""Included"", ""dn.borg""=>[""Validated against gold standard.""]",2,0,0,2,0,"Include","Include"
"NCT03931083","Screening Test Accuracy of a Gynocularâ„¢; HR-HPV Testing; and VIA for Detection of Cervical Intraepithelial Neoplasia; Grade Two and Above; in Women Living With HIV in Lusaka; Zambia; Screening Test Accuracy of Gynocularâ„¢; HR-HPV Testing; VIA for Detection of Cervical Neoplastic Lesions; in Women Living With HIV","rayyan-325728212","Screening Test Accuracy of a GynocularÃ¢â€žÂ¢; HR-HPV Testing; and VIA for Detection of Cervical Intraepithelial Neoplasia; Grade Two and Above; in Women Living With HIV in Lusaka; Zambia; Screening Test Accuracy of GynocularÃ¢â€žÂ¢; HR-HPV Testing; VIA for Detection of Cervical Neoplastic Lesions; in Women Living With HIV","RAYYAN-INCLUSION: {""Nicole""=>""Maybe"", ""Rex""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: diagnosis,Diagnostic,validation,Development,development","""Nicole""=>""Maybe"", ""Rex""=>""Included"", ""dn.borg""=>""Included""",2,0,1,2,0,"Include","Include"
"NCT03948048","Study on the Efficacy and Timing of Extracorporeal Membrane Oxygenation (ECMO) Therapy in Children With Refractory Septic; Study on the Efficacy and Timing of ECMO Therapy in Children With Refractory Septic Shock","rayyan-325728213","Study on the Efficacy and Timing of Extracorporeal Membrane Oxygenation (ECMO) Therapy in Children With Refractory Septic; Study on the Efficacy and Timing of ECMO Therapy in Children With Refractory Septic Shock","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Prognosis,prognosis,Development,development | USER-NOTES: {""Nicole""=>[""assuming mortality is the outcome of the model""]}","""Nicole""=>""Included"", ""dn.borg""=>""Included"", ""Nicole""=>[""assuming mortality is the outcome of the model""]",2,0,0,2,0,"Include","Include"
"NCT03975309","Metabolomics of Neurocognitive Risk for Dementia in Diabetes; DHS MIND Metabolomics","rayyan-325728217","Metabolomics of Neurocognitive Risk for Dementia in Diabetes; DHS MIND Metabolomics","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Prognosis,Development,development,multiple designs","""Nicole""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT03988764","Accurate Diagnosis of Diabetes for Appropriate Management; Monogenic Diabetes Misdiagnosed as Type 1","rayyan-325728219","Accurate Diagnosis of Diabetes for Appropriate Management; Monogenic Diabetes Misdiagnosed as Type 1","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: diagnosis,Diagnostic,Development,development,multiple designs","""Nicole""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT03994341","Automated Infrared Imaging Tools for Discerning Necrotizing Enterocolitis From Normal Abdominal Thermograms: A Pilot Study; NEC Thermography Infrared Imaging Study","rayyan-325728220","Automated Infrared Imaging Tools for Discerning Necrotizing Enterocolitis From Normal Abdominal Thermograms: A Pilot Study; NEC Thermography Infrared Imaging Study","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: diagnosis,Diagnostic,validation,Development | USER-NOTES: {""Nicole""=>[""appears to be a validation of ML-model already developed""]}","""Nicole""=>""Included"", ""dn.borg""=>""Included"", ""Nicole""=>[""appears to be a validation of ML-model already developed""]",2,0,0,2,0,"Include","Include"
"NCT04113174","Development and Evaluation of the Electronic Frailty Index+ (eFI+) Tool: Integrated Prognostic-decision Modelling to Target Interventions for Older People With Moderate or Severe Frailty; Development and Evaluation of the Electronic Frailty Index+ (eFI+)","rayyan-325728221","Development and Evaluation of the Electronic Frailty Index+ (eFI+) Tool: Integrated Prognostic-decision Modelling to Target Interventions for Older People With Moderate or Severe Frailty; Development and Evaluation of the Electronic Frailty Index+ (eFI+)","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Prognosis,prognosis,Validation,validation,Development,development","""Nicole""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT04121988","Prospective Observational Study of Diagnostic Yield in Cushing's Disease Using Deep Learning Based Denoising MRI; Diagnostic Yield of Deep Learning Based Denoising MRI in Cushing's Disease","rayyan-325728224","Prospective Observational Study of Diagnostic Yield in Cushing's Disease Using Deep Learning Based Denoising MRI; Diagnostic Yield of Deep Learning Based Denoising MRI in Cushing's Disease","RAYYAN-INCLUSION: {""Rex""=>""Excluded"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Diagnostic,Development | USER-NOTES: {""Rex""=>[""DECISION: INCLUDE""]}","""Rex""=>""Excluded"", ""dn.borg""=>""Included"", ""Rex""=>[""DECISION: INCLUDE""]",1,1,0,2,0,"Include","Include"
"NCT04123509","Non-invasive Method for Predicting the Presence of Gastroesophageal Varices in Patients With Cirrhosis: a Prospective; Single-center Trial; Non-invasive Method for Predicting the Presence of Gastroesophageal Varices in Patients With Cirrhosis","rayyan-325728225","Non-invasive Method for Predicting the Presence of Gastroesophageal Varices in Patients With Cirrhosis: a Prospective; Single-center Trial; Non-invasive Method for Predicting the Presence of Gastroesophageal Varices in Patients With Cirrhosis","RAYYAN-INCLUSION: {""Rex""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: diagnosis,Diagnostic,Development,development","""Rex""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT04131530","Automatic Evaluation of Inflammation Activity in Ulcerative Colitis Using Probe-based Confocal Laser Endomicroscopy With Artificial Intelligence; Automatic Evaluation of Inflammation Activity in Ulcerative Colitis Using pCLE With Artificial Intelligence","rayyan-325728229","Automatic Evaluation of Inflammation Activity in Ulcerative Colitis Using Probe-based Confocal Laser Endomicroscopy With Artificial Intelligence; Automatic Evaluation of Inflammation Activity in Ulcerative Colitis Using pCLE With Artificial Intelligence","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""} | RAYYAN-LABELS: diagnosis,prognosis,Diagnostic,Validation,Development,development | USER-NOTES: {""Nicole""=>[""can't tell if they are developing the model and validating it as part of the same study\n""], ""dn.borg""=>[""Limited info. Read contrast with endoscopists as validation.""]}","""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe"", ""Nicole""=>[""can't tell if they are developing the model and validating it as part of the same study\n""], ""dn.borg""=>[""Limited info. Read contrast with endoscopists as validation.""]",2,0,1,2,0,"Include","Include"
"NCT04156360","Construction and Evaluation of the Liquid Biopsy-based Early Diagnostic Model for Lung Cancer; Construction and Evaluation of the Liquid Biopsy-based Early Diagnostic Model for Lung Cancer","rayyan-325728230","Construction and Evaluation of the Liquid Biopsy-based Early Diagnostic Model for Lung Cancer; Construction and Evaluation of the Liquid Biopsy-based Early Diagnostic Model for Lung Cancer","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: diagnosis,Diagnostic,Development,development | USER-NOTES: {""dn.borg""=>[""Limited info.""]}","""Nicole""=>""Included"", ""dn.borg""=>""Included"", ""dn.borg""=>[""Limited info.""]",2,0,0,2,0,"Include","Include"
"NCT04169581","Symmetricity-Driven Learning Framework for Pediatric Temporal Lobe Epilepsy Detection Using 18F-FDG-PET Imaging; A Deep Learning Framework for Pediatric TLE Detection Using 18F-FDG-PET Imaging","rayyan-325728231","Symmetricity-Driven Learning Framework for Pediatric Temporal Lobe Epilepsy Detection Using 18F-FDG-PET Imaging; A Deep Learning Framework for Pediatric TLE Detection Using 18F-FDG-PET Imaging","RAYYAN-INCLUSION: {""Rex""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: diagnosis,Diagnostic,Development,development","""Rex""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT04189497","Development of a Prognostic Tool for the Stratification of Cardiovascular Risk in Patients With Ischemic Stroke; Development of a Prognostic Tool for the Stratification of Cardiovascular Risk in Patients With Ischemic Stroke","rayyan-325728235","Development of a Prognostic Tool for the Stratification of Cardiovascular Risk in Patients With Ischemic Stroke; Development of a Prognostic Tool for the Stratification of Cardiovascular Risk in Patients With Ischemic Stroke","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Prognosis,prognosis,validation,Development,development","""Nicole""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT04192175","Identification of Patients Admitted With COPD Exacerbations and Stratification of Those at High Risk of Readmission Using Natural Language Processing and Machine Learning; Identification of Patients Admitted With COPD Exacerbations and Predicting Readmission Risk Using Machine Learning","rayyan-325728236","Identification of Patients Admitted With COPD Exacerbations and Stratification of Those at High Risk of Readmission Using Natural Language Processing and Machine Learning; Identification of Patients Admitted With COPD Exacerbations and Predicting Readmission Risk Using Machine Learning","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""} | RAYYAN-LABELS: diagnosis,prognosis,validation,development | USER-NOTES: {""dn.borg""=>[""Not necessarily a model. Text-mining of clinical notes.""]}","""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe"", ""dn.borg""=>[""Not necessarily a model. Text-mining of clinical notes.""]",2,0,1,2,0,"Include","Include"
"NCT04203264","Real-Time Identification of Gastric Lesions and Anatomical Landmarks During Magnetically Controlled Capsule Endoscopy Using Artificial Intelligence; Real-Time Identification System of Magnetically Controlled Capsule Endoscopy Using Artificial Intelligence","rayyan-325728239","Real-Time Identification of Gastric Lesions and Anatomical Landmarks During Magnetically Controlled Capsule Endoscopy Using Artificial Intelligence; Real-Time Identification System of Magnetically Controlled Capsule Endoscopy Using Artificial Intelligence","RAYYAN-INCLUSION: {""Rex""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: diagnosis,Diagnostic,validation,Development","""Rex""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT04208971","Batch Enrollment for an Artificial Intelligence-Guided Intervention to Lower Neurologic Events in Patients With Unrecognized Atrial Fibrillation (BEAGLE); Batch Enrollment for AI-Guided Intervention to Lower Neurologic Events in Unrecognized AF","rayyan-325728240","Batch Enrollment for an Artificial Intelligence-Guided Intervention to Lower Neurologic Events in Patients With Unrecognized Atrial Fibrillation (BEAGLE); Batch Enrollment for AI-Guided Intervention to Lower Neurologic Events in Unrecognized AF","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""} | RAYYAN-LABELS: diagnosis,Diagnostic,validation,Development | USER-NOTES: {""dn.borg""=>[""Not enough info""]}","""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe"", ""dn.borg""=>[""Not enough info""]",2,0,1,2,0,"Include","Include"
"NCT04216901","A Single Center Study on the Effectiveness and Safety of Polyp Detection and Polyp Classification With Artificial Intelligence; A Single Center Study on the Effectiveness and Safety of Polyp Classification With Artificial Intelligence","rayyan-325728241","A Single Center Study on the Effectiveness and Safety of Polyp Detection and Polyp Classification With Artificial Intelligence; A Single Center Study on the Effectiveness and Safety of Polyp Classification With Artificial Intelligence","RAYYAN-INCLUSION: {""Rex""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: diagnosis,Diagnostic,validation,Development","""Rex""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT04228614","A Cohort Study Evaluating the Effectiveness of the Somatic Mutation Spectrum Model in CRC Prognosis and Prediction Stratification; Evaluation of Somatic Mutation Spectrum as Biomarker for Survival Outcome in Chinese CRC","rayyan-325728243","A Cohort Study Evaluating the Effectiveness of the Somatic Mutation Spectrum Model in CRC Prognosis and Prediction Stratification; Evaluation of Somatic Mutation Spectrum as Biomarker for Survival Outcome in Chinese CRC","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Prognosis,prognosis,Development,development,multiple designs","""Nicole""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT04242108","Diagnostic Performance of Deep Convolutional Neural Networks for Angle Closure Glaucoma: an International Multicenter Study; Diagnostic Performance of Deep Learning for Angle Closure","rayyan-325728244","Diagnostic Performance of Deep Convolutional Neural Networks for Angle Closure Glaucoma: an International Multicenter Study; Diagnostic Performance of Deep Learning for Angle Closure","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""} | RAYYAN-LABELS: diagnosis,validation,development | USER-NOTES: {""dn.borg""=>[""Not enough info.""]}","""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe"", ""dn.borg""=>[""Not enough info.""]",2,0,1,2,0,"Include","Include"
"NCT04253496","Mathematic Modeling at Micro and Macroscopic Level of Primary Central Nervous System Lymphomas (PCNSL); Mathematic Modeling at Micro and Macroscopic Level of Primary Central Nervous System Lymphomas (PCNSL)","rayyan-325728245","Mathematic Modeling at Micro and Macroscopic Level of Primary Central Nervous System Lymphomas (PCNSL); Mathematic Modeling at Micro and Macroscopic Level of Primary Central Nervous System Lymphomas (PCNSL)","RAYYAN-INCLUSION: {""Rex""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Prognosis,Development,development","""Rex""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT04261309","BACk Pain in Elders in Norway (BACE-N); A Prospective Cohort Study of Older People Visiting Primary Care With a New Episode of Back Pain; BACk Pain in Elders in Norway (BACE-N)","rayyan-325728246","BACk Pain in Elders in Norway (BACE-N); A Prospective Cohort Study of Older People Visiting Primary Care With a New Episode of Back Pain; BACk Pain in Elders in Norway (BACE-N)","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Excluded""} | RAYYAN-LABELS: prognosis,validation,development,multiple designs | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""dn.borg""=>[""Prognostic factors.""], ""Rex""=>[""DECISION: INCLUDE""]}","""Nicole""=>""Included"", ""dn.borg""=>""Excluded"", ""dn.borg""=>[""Prognostic factors.""], ""Rex""=>[""DECISION: INCLUDE""]",1,1,0,2,0,"Include","Include"
"NCT04271657","A RadioPathomics Integrated Artificial Intelligence System to Predict Neoadjuvant Chemoradiotherapy Response for Locally Advanced Rectal Cancer: A Multicenter; Prospective and Observational Clinical Study; RadioPathomics Artificial Intelligence Model to Predict nCRT Response in Locally Advanced Rectal Cancer","rayyan-325728247","A RadioPathomics Integrated Artificial Intelligence System to Predict Neoadjuvant Chemoradiotherapy Response for Locally Advanced Rectal Cancer: A Multicenter; Prospective and Observational Clinical Study; RadioPathomics Artificial Intelligence Model to Predict nCRT Response in Locally Advanced Rectal Cancer","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""} | RAYYAN-LABELS: Prognosis,prognosis,Validation,validation","""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""",2,0,1,2,0,"Include","Include"
"NCT04273477","Predicting Neoadjuvant Chemoradiotherapy Response by Radiomics-based Artificial Intelligence System in Locally Advanced Rectal Cancer: A Multicenter; Prospective and Observational Clinical Study; Radiomics-based Artificial Intelligence System to Predict Neoadjuvant Treatment Response in Rectal Cancer","rayyan-325728248","Predicting Neoadjuvant Chemoradiotherapy Response by Radiomics-based Artificial Intelligence System in Locally Advanced Rectal Cancer: A Multicenter; Prospective and Observational Clinical Study; Radiomics-based Artificial Intelligence System to Predict Neoadjuvant Treatment Response in Rectal Cancer","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: prognosis,Diagnostic,validation,Development","""Nicole""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
