"key","title_old","key","title","notes","decision","n_include","n_exclude","n_maybe","n_decisions","to_screen","final_decision","final_decision_conflict"
"NCT02668835","GADGET-PD Genetic and Digital Diagnosis of Essential Tremor and Parkinson's Disease Trial; GADGET-PD Genetic and Digital Diagnosis of Essential Tremor and Parkinson's Disease Trial","rayyan-325727809","GADGET-PD Genetic and Digital Diagnosis of Essential Tremor and Parkinson's Disease Trial; GADGET-PD Genetic and Digital Diagnosis of Essential Tremor and Parkinson's Disease Trial","RAYYAN-INCLUSION: {""Rex""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: diagnosis,Diagnostic,Development,development,multiple designs","""Rex""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT02738099","Risk Stratification of Patients Presenting With Cardiac Arrest; Risk Stratification of Patients Presenting With Cardiac Arrest","rayyan-325727810","Risk Stratification of Patients Presenting With Cardiac Arrest; Risk Stratification of Patients Presenting With Cardiac Arrest","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""Rex""=>""Maybe"", ""a.barnett""=>""Excluded""}","""Nicole""=>""Excluded"", ""Rex""=>""Maybe"", ""a.barnett""=>""Excluded""",0,2,1,2,0,"Exclude","Exclude"
"NCT02757846","Quantitative Imaging for Evaluation of Response to Cancer Therapies; Radiomics of Hepatocellular Carcinoma","rayyan-325727811","Quantitative Imaging for Evaluation of Response to Cancer Therapies; Radiomics of Hepatocellular Carcinoma","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: prognosis,development","""Nicole""=>""Included"", ""Rex""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT02759770","Risk Factors and Prediction Score of ARDS After Cardiac Surgery; Risk Factors and Prediction Score of ARDS After Cardiac Surgery","rayyan-325727812","Risk Factors and Prediction Score of ARDS After Cardiac Surgery; Risk Factors and Prediction Score of ARDS After Cardiac Surgery","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""Rex""=>""Included""} | RAYYAN-LABELS: prognosis,development | USER-NOTES: {""Rex""=>[""DISCUSSED - DECISION:INCLUDE""]}","""Nicole""=>""Excluded"", ""Rex""=>""Included"", ""Rex""=>[""DISCUSSED - DECISION:INCLUDE""]",1,1,0,2,0,"Include","Include"
"NCT02760238","Clinical and Molecular Epidemiology of Myeloproliferative Neoplasms (MPNs); Myeloproliferative Neoplasms (MPNs) Patient Registry","rayyan-325727813","Clinical and Molecular Epidemiology of Myeloproliferative Neoplasms (MPNs); Myeloproliferative Neoplasms (MPNs) Patient Registry","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""Rex""=>""Excluded""}","""Nicole""=>""Excluded"", ""Rex""=>""Excluded""",0,2,0,2,0,"Exclude","Exclude"
"NCT02783781","Contribution of Preoperative Biological Data in Risk Assessment in Cardiac Surgery in Addition to the EuroSCORE; Contribution of Preoperative Biological Data in Risk Assessment in Cardiac Surgery in Addition to the EuroSCORE (EuroSCOREbio)","rayyan-325727814","Contribution of Preoperative Biological Data in Risk Assessment in Cardiac Surgery in Addition to the EuroSCORE; Contribution of Preoperative Biological Data in Risk Assessment in Cardiac Surgery in Addition to the EuroSCORE (EuroSCOREbio)","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: prognosis,validation,development | USER-NOTES: {""Nicole""=>[""Finally; the reinforcement of existing scores with biological variables is recommended by thegroup of recommendations in prognostic research strategy (PROGRESS 2014); rather thancreating new scores ex nihilo\n\nFind PROGRESS 2014""]}","""Nicole""=>""Included"", ""Rex""=>""Included"", ""Nicole""=>[""Finally; the reinforcement of existing scores with biological variables is recommended by thegroup of recommendations in prognostic research strategy (PROGRESS 2014); rather thancreating new scores ex nihilo\n\nFind PROGRESS 2014""]",2,0,0,2,0,"Include","Include"
"NCT02804802","Impact of DietarY and LIfestyle Risk Factors on Colorectal Cancer Screening (IDYLIC Study). Is it Possible to Target Risk Subjects by Using a Predictive Score?; Impact of DietarY and LIfestyle Risk Factors on Colorectal Cancer Screening","rayyan-325727815","Impact of DietarY and LIfestyle Risk Factors on Colorectal Cancer Screening (IDYLIC Study). Is it Possible to Target Risk Subjects by Using a Predictive Score?; Impact of DietarY and LIfestyle Risk Factors on Colorectal Cancer Screening","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: diagnosis,development","""Nicole""=>""Included"", ""Rex""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT02820402","Project Viva: a Longitudinal Study of Health for the Next Generation; Project Viva: a Longitudinal Study of Health for the Next Generation","rayyan-325727816","Project Viva: a Longitudinal Study of Health for the Next Generation; Project Viva: a Longitudinal Study of Health for the Next Generation","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""Rex""=>""Excluded""} | RAYYAN-LABELS: prognosis,development,multiple designs","""Nicole""=>""Excluded"", ""Rex""=>""Excluded""",0,2,0,2,0,"Exclude","Exclude"
"NCT02826460","Psychosocial Predictors of Posttransplant Adherence and Outcomes; Psychosocial Risks in Liver Transplant Recipients","rayyan-325727817","Psychosocial Predictors of Posttransplant Adherence and Outcomes; Psychosocial Risks in Liver Transplant Recipients","RAYYAN-INCLUSION: {""Nicole""=>""Maybe"", ""Rex""=>""Included"", ""dn.borg""=>""Excluded""} | RAYYAN-LABELS: prognosis,development | RAYYAN-EXCLUSION-REASONS: wrong outcome | USER-NOTES: {""dn.borg""=>[""Looks like predictors of, rather than a prediction model.""], ""Rex""=>[""DISCUSSED - DECISION:Include""]}","""Nicole""=>""Maybe"", ""Rex""=>""Included"", ""dn.borg""=>""Excluded"", ""dn.borg""=>[""Looks like predictors of, rather than a prediction model.""], ""Rex""=>[""DISCUSSED - DECISION:Include""]",1,1,1,2,0,"Include","Include"
"NCT02830464","New Biomarkers in Heart- and Renal Failure: Cohort Study for Assessing Prognosis in Acute Coronary Syndrome and Acute/Chronic Cardiovascular and Renal Failure by Means of Fibroblast Growth Factor 23; New Biomarkers in Heart- and Renal Failure","rayyan-325727818","New Biomarkers in Heart- and Renal Failure: Cohort Study for Assessing Prognosis in Acute Coronary Syndrome and Acute/Chronic Cardiovascular and Renal Failure by Means of Fibroblast Growth Factor 23; New Biomarkers in Heart- and Renal Failure","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""Rex""=>""Excluded""} | RAYYAN-LABELS: prognosis,development","""Nicole""=>""Excluded"", ""Rex""=>""Excluded""",0,2,0,2,0,"Exclude","Exclude"
"NCT02837172","Diagnosis of Parkinson's Disease and Prediction of Progression Using Diffusion Weighted Imaging; Diagnosis of PD and PD Progression Using DWI","rayyan-325727819","Diagnosis of Parkinson's Disease and Prediction of Progression Using Diffusion Weighted Imaging; Diagnosis of PD and PD Progression Using DWI","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: diagnosis,prognosis,development,multiple designs","""Nicole""=>""Included"", ""Rex""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT02844218","Effect of Age on Treatment Decision-Making in Elderly Patients With Acute Myeloid Leukemia; Effect of Age on Treatment Decision-Making in Elderly Patients With Acute Myeloid Leukemia","rayyan-325727820","Effect of Age on Treatment Decision-Making in Elderly Patients With Acute Myeloid Leukemia; Effect of Age on Treatment Decision-Making in Elderly Patients With Acute Myeloid Leukemia","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""Rex""=>""Excluded""} | RAYYAN-LABELS: prognosis,development","""Nicole""=>""Excluded"", ""Rex""=>""Excluded""",0,2,0,2,0,"Exclude","Exclude"
"NCT02863458","Effectiveness of DNA Hypomethylating Agents and Lenalidomide in Elderly Patients With Myeloid Malignancies in the United States; DNA Hypomethylating Agents and Lenalidomide in Elderly Patients With Myeloid Malignancies in the US","rayyan-325727821","Effectiveness of DNA Hypomethylating Agents and Lenalidomide in Elderly Patients With Myeloid Malignancies in the United States; DNA Hypomethylating Agents and Lenalidomide in Elderly Patients With Myeloid Malignancies in the US","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: prognosis,development,multiple designs","""Nicole""=>""Included"", ""Rex""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT02904577","Indolent Non Follicular Lymphomas Prognostic Project - Prospective Collection of Data of Possible Prognostic Relevance in Patients With Indolent Non-follicular B-CELL Lymphomas; Indolent Non Follicular Lymphomas Prognostic Project","rayyan-325727822","Indolent Non Follicular Lymphomas Prognostic Project - Prospective Collection of Data of Possible Prognostic Relevance in Patients With Indolent Non-follicular B-CELL Lymphomas; Indolent Non Follicular Lymphomas Prognostic Project","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Maybe""} | RAYYAN-LABELS: Prognosis,development | USER-NOTES: {""a.barnett""=>[""Is a pilot prognostic study before the main one. I can't tell if this should be included. ""]}","""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Maybe"", ""a.barnett""=>[""Is a pilot prognostic study before the main one. I can't tell if this should be included. ""]",2,0,1,2,0,"Include","Include"
"NCT02904850","Validation of a Kinetic Model of Erlotinib; Validation of a Kinetic Model of Erlotinib","rayyan-325727823","Validation of a Kinetic Model of Erlotinib; Validation of a Kinetic Model of Erlotinib","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Diagnostic,Validation | USER-NOTES: {""Rex""=>[""DISCUSSED - DECISION:EXCLUDE""]}","""Nicole""=>""Excluded"", ""dn.borg""=>""Included"", ""Rex""=>[""DISCUSSED - DECISION:EXCLUDE""]",1,1,0,2,0,"Exclude","Exclude"
"NCT02905357","Heart Attack Research Program- Imaging Study; Heart Attack Research Program- Imaging Study","rayyan-325727824","Heart Attack Research Program- Imaging Study; Heart Attack Research Program- Imaging Study","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""dn.borg""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""dn.borg""=>[""Not a prediction model.""]}","""Nicole""=>""Excluded"", ""dn.borg""=>""Excluded"", ""dn.borg""=>[""Not a prediction model.""]",0,2,0,2,0,"Exclude","Exclude"
"NCT02912624","Combining Conventional With Advanced Hemodynamic Parameters for Predicting the Outcome of Critically Ill Patients: a Pilot for a Registry; Simple Intensive Care Studies I (SICS-I)","rayyan-325727825","Combining Conventional With Advanced Hemodynamic Parameters for Predicting the Outcome of Critically Ill Patients: a Pilot for a Registry; Simple Intensive Care Studies I (SICS-I)","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Prognosis,Diagnostic,Validation,development","""Nicole""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT02931513","Macrophage Activation Marker sCD163 in PBC Patients - Assessment of Treatment Response to UDCA; sCD163 in PBC Patients - Assessment of Treatment Response","rayyan-325727826","Macrophage Activation Marker sCD163 in PBC Patients - Assessment of Treatment Response to UDCA; sCD163 in PBC Patients - Assessment of Treatment Response","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""dn.borg""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""dn.borg""=>[""Predictors of.""]}","""Nicole""=>""Excluded"", ""dn.borg""=>""Excluded"", ""dn.borg""=>[""Predictors of.""]",0,2,0,2,0,"Exclude","Exclude"
"NCT02932176","Development and Validation of a Novel Machine-learning Algorithm to Assist in Handheld Vascular Diagnostics; Machine Learning for Handheld Vascular Studies","rayyan-325727827","Development and Validation of a Novel Machine-learning Algorithm to Assist in Handheld Vascular Diagnostics; Machine Learning for Handheld Vascular Studies","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""a.barnett""=>""Included""} | RAYYAN-LABELS: diagnosis,diagnostic,validation,development","""Nicole""=>""Included"", ""a.barnett""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT02932644","Association Between Baseline Vitamin D Metabolite Levels and Risk of Cardiovascular Events in Rheumatoid Arthritis Patients. A Cohort Study With Patient-record Evaluated Outcomes.; Vitamin D and Cardiovascular Events in Rheumatoid Arthritis","rayyan-325727828","Association Between Baseline Vitamin D Metabolite Levels and Risk of Cardiovascular Events in Rheumatoid Arthritis Patients. A Cohort Study With Patient-record Evaluated Outcomes.; Vitamin D and Cardiovascular Events in Rheumatoid Arthritis","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Excluded""} | RAYYAN-LABELS: development | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""dn.borg""=>[""Looks like identifying risk factors""], ""Rex""=>[""DISCUSSED - DECISION:EXCLUDE""]}","""Nicole""=>""Included"", ""dn.borg""=>""Excluded"", ""dn.borg""=>[""Looks like identifying risk factors""], ""Rex""=>[""DISCUSSED - DECISION:EXCLUDE""]",1,1,0,2,0,"Exclude","Exclude"
"NCT02992067","CK19 Combined With Contrast-enhanced Ultrasound: a Prediction System on Axillary Lymph Node Metastasis in Breast Cancer; CK19 Combined With Contrast-enhanced Ultrasound: a Prediction System on Axillary Lymph Node Metastasis in Breast Cancer","rayyan-325727829","CK19 Combined With Contrast-enhanced Ultrasound: a Prediction System on Axillary Lymph Node Metastasis in Breast Cancer; CK19 Combined With Contrast-enhanced Ultrasound: a Prediction System on Axillary Lymph Node Metastasis in Breast Cancer","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""} | RAYYAN-LABELS: diagnosis,Diagnostic,Validation,development","""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""",2,0,1,2,0,"Include","Include"
"NCT03003182","A Prospective Cohort Study of Nasopharyngeal Carcinoma to Establish Prognostic Models; to Discover Toxicity Associated Predictors and to Validate Randomized Trials in Clinical Practice; A Study of Nasopharyngeal Carcinoma From Guangdong","rayyan-325727830","A Prospective Cohort Study of Nasopharyngeal Carcinoma to Establish Prognostic Models; to Discover Toxicity Associated Predictors and to Validate Randomized Trials in Clinical Practice; A Study of Nasopharyngeal Carcinoma From Guangdong","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""} | RAYYAN-LABELS: Prognosis,Development,development","""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""",2,0,1,2,0,"Include","Include"
"NCT03038360","CardioSAVE: A 12-months Prospective Longitudinal Controlled Study for the Validation of a Novel Predictive Model and a Diagnostic Tool; for the Risk Stratification of AMI Patients Undergoing PCI; Prospective Study With AMI Patients Undergoing PCI","rayyan-325727831","CardioSAVE: A 12-months Prospective Longitudinal Controlled Study for the Validation of a Novel Predictive Model and a Diagnostic Tool; for the Risk Stratification of AMI Patients Undergoing PCI; Prospective Study With AMI Patients Undergoing PCI","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""} | RAYYAN-LABELS: diagnosis,Diagnostic,validation,Development | USER-NOTES: {""dn.borg""=>[""They say validate but i think they actually mean develop.""]}","""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe"", ""dn.borg""=>[""They say validate but i think they actually mean develop.""]",2,0,1,2,0,"Include","Include"
"NCT03064360","Early Prediction of Major Adverse Cardiovascular Event Surrogates Using Remote Monitoring With Biosensors; Biomarkers; and Patient-Reported Outcomes; Early Prediction of Major Adverse Cardiovascular Events Using Remote Monitoring","rayyan-325727832","Early Prediction of Major Adverse Cardiovascular Event Surrogates Using Remote Monitoring With Biosensors; Biomarkers; and Patient-Reported Outcomes; Early Prediction of Major Adverse Cardiovascular Events Using Remote Monitoring","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Prognosis,validation,Development,development,multiple designs","""Nicole""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT03074747","The Comparison of Different Questionnaires for Preoperative Screening and Perioperative Risk Prediction in Obstructive Sleep Apnea Patients in China; Comparison of Four Questionnaires for OSA Screening in China","rayyan-325727833","The Comparison of Different Questionnaires for Preoperative Screening and Perioperative Risk Prediction in Obstructive Sleep Apnea Patients in China; Comparison of Four Questionnaires for OSA Screening in China","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""dn.borg""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design","""Nicole""=>""Excluded"", ""dn.borg""=>""Excluded""",0,2,0,2,0,"Exclude","Exclude"
"NCT03108404","Predictive Score for Neonatal Mortality for Women With Premature Rupture of Membranes Between 22 and 28 Weeks of Gestation; Predictive Score for Neonatal Mortality for Women With Premature Rupture of Membranes Between 22 and 28 Weeks of Gestation","rayyan-325727834","Predictive Score for Neonatal Mortality for Women With Premature Rupture of Membranes Between 22 and 28 Weeks of Gestation; Predictive Score for Neonatal Mortality for Women With Premature Rupture of Membranes Between 22 and 28 Weeks of Gestation","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""} | RAYYAN-LABELS: Prognosis,Development,development | USER-NOTES: {""dn.borg""=>[""Not enough information?""]}","""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe"", ""dn.borg""=>[""Not enough information?""]",2,0,1,2,0,"Include","Include"
"NCT03110887","Monitoring Outcome in Neonatal Thrombocytopenia; Monitoring Outcome in Neonatal Thrombocytopenia","rayyan-325727835","Monitoring Outcome in Neonatal Thrombocytopenia; Monitoring Outcome in Neonatal Thrombocytopenia","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Diagnostic,Development,development","""Nicole""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT03118648","Relations Between the Level Upper Limb Paresis Recovery in Output of the Hospital Unit Continued Care and Rehabilitation and Its Level of Use in Lifestyle at Three and Six Months; Recovery of Upper Limb Paresis at Discharge After Stroke and Its Level of Use in Activities of Daily Living 3 to 6 Months Later (Post AVC-AVQ)","rayyan-325727836","Relations Between the Level Upper Limb Paresis Recovery in Output of the Hospital Unit Continued Care and Rehabilitation and Its Level of Use in Lifestyle at Three and Six Months; Recovery of Upper Limb Paresis at Discharge After Stroke and Its Level of Use in Activities of Daily Living 3 to 6 Months Later (Post AVC-AVQ)","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Prognosis,Development,development | USER-NOTES: {""Nicole""=>[""includes sample size justification based on number of events per independent variable (good reference when disucssing pmsample)""]}","""Nicole""=>""Included"", ""dn.borg""=>""Included"", ""Nicole""=>[""includes sample size justification based on number of events per independent variable (good reference when disucssing pmsample)""]",2,0,0,2,0,"Include","Include"
"NCT03169296","Clinical and Genomic Registry of Myelodysplastic Syndrome (MDS) and Secondary Acute Myeloid Leukaemia (AML) in Asia; Clinical and Genomic Registry of MDS in Asia","rayyan-325727837","Clinical and Genomic Registry of Myelodysplastic Syndrome (MDS) and Secondary Acute Myeloid Leukaemia (AML) in Asia; Clinical and Genomic Registry of MDS in Asia","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Prognosis,Development | USER-NOTES: {""Rex""=>[""DISCUSSED - DECISION:EXCLUDE""]}","""Nicole""=>""Excluded"", ""dn.borg""=>""Included"", ""Rex""=>[""DISCUSSED - DECISION:EXCLUDE""]",1,1,0,2,0,"Exclude","Exclude"
"NCT03198975","Development of a Machine Learning-based Model for Preoperative Prediction of Microvascular Invasion in Hepatocellular Carcinoma; Preoperative Prediction of Microvascular Invasion in Hepatocellular Carcinoma","rayyan-325727838","Development of a Machine Learning-based Model for Preoperative Prediction of Microvascular Invasion in Hepatocellular Carcinoma; Preoperative Prediction of Microvascular Invasion in Hepatocellular Carcinoma","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Diagnostic,validation,Development,development | USER-NOTES: {""dn.borg""=>[""Not sure that this one counts as external validation.""]}","""Nicole""=>""Included"", ""dn.borg""=>""Included"", ""dn.borg""=>[""Not sure that this one counts as external validation.""]",2,0,0,2,0,"Include","Include"
"NCT03209141","Impedance Cardiography in the Evaluation of Left Ventricular Diastolic Dysfunction in Patients With Arterial Hypertension Study (IMPEDDANS); Screening of Diastolic Dysfunction With Impedance Cardiography in Hypertensive Patients","rayyan-325727839","Impedance Cardiography in the Evaluation of Left Ventricular Diastolic Dysfunction in Patients With Arterial Hypertension Study (IMPEDDANS); Screening of Diastolic Dysfunction With Impedance Cardiography in Hypertensive Patients","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Diagnostic,Validation | USER-NOTES: {""Nicole""=>[""DECISION:EXCLUDE""]}","""Nicole""=>""Excluded"", ""dn.borg""=>""Included"", ""Nicole""=>[""DECISION:EXCLUDE""]",1,1,0,2,0,"Exclude","Exclude"
"NCT03224312","Chongqing Primary Aldosteronism Study; Chongqing Primary Aldosteronism Study","rayyan-325727840","Chongqing Primary Aldosteronism Study; Chongqing Primary Aldosteronism Study","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""Rex""=>""Excluded"", ""dn.borg""=>""Maybe""} | RAYYAN-EXCLUSION-REASONS: wrong study design","""Nicole""=>""Excluded"", ""Rex""=>""Excluded"", ""dn.borg""=>""Maybe""",0,2,1,2,0,"Exclude","Exclude"
"NCT03238040","Biomarkers of Acute Serious Illness in Children (BASIC): Understanding the Genetic Basis and Biological Pathways Underlying Critical Illness and How They Influence Outcome in Children Requiring Emergency Intensive Care; Biomarkers of Acute Serious Illness in Children","rayyan-325727841","Biomarkers of Acute Serious Illness in Children (BASIC): Understanding the Genetic Basis and Biological Pathways Underlying Critical Illness and How They Influence Outcome in Children Requiring Emergency Intensive Care; Biomarkers of Acute Serious Illness in Children","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""dn.borg""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""dn.borg""=>[""Predictors of.""], ""Nicole""=>[""saying no to this one given the approach - biomarker study""]}","""Nicole""=>""Excluded"", ""dn.borg""=>""Excluded"", ""dn.borg""=>[""Predictors of.""], ""Nicole""=>[""saying no to this one given the approach - biomarker study""]",0,2,0,2,0,"Exclude","Exclude"
"NCT03248557","Early Prognostic Value of an Algorithm Based on Spectral Variables of Ventricular fibrillAtion From the EKG of Patients With suddEn Cardiac Death: a Multicenter Observational Trial; Prognostic Value of Ventricular Fibrillation Spectral Analysis in Sudden Cardiac Death","rayyan-325727842","Early Prognostic Value of an Algorithm Based on Spectral Variables of Ventricular fibrillAtion From the EKG of Patients With suddEn Cardiac Death: a Multicenter Observational Trial; Prognostic Value of Ventricular Fibrillation Spectral Analysis in Sudden Cardiac Death","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Prognosis,validation,Development,development","""Nicole""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT03269201","Mapping Functional Networks of Brain Activity (Brain Network Activation; BNA) Based on Analysis of Evoked Response Potential (ERP) EEG Signals in Patients With Movement Disorders; Brain Network Activation in Patients With Movement Disorders","rayyan-325727843","Mapping Functional Networks of Brain Activity (Brain Network Activation; BNA) Based on Analysis of Evoked Response Potential (ERP) EEG Signals in Patients With Movement Disorders; Brain Network Activation in Patients With Movement Disorders","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""dn.borg""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design","""Nicole""=>""Excluded"", ""dn.borg""=>""Excluded""",0,2,0,2,0,"Exclude","Exclude"
"NCT03285373","Non-Interventional; Cross-sectional Study to Describe NOACs Management ss in Patients With Non-valvular Atrial Fibrillation (NVAF) in Spain.; This Study Observes the Use of New Oral Anticoagulants (NOACs) in Patients With a Heart Rhythm Disorder in Spain","rayyan-325727844","Non-Interventional; Cross-sectional Study to Describe NOACs Management ss in Patients With Non-valvular Atrial Fibrillation (NVAF) in Spain.; This Study Observes the Use of New Oral Anticoagulants (NOACs) in Patients With a Heart Rhythm Disorder in Spain","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""dn.borg""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design","""Nicole""=>""Excluded"", ""dn.borg""=>""Excluded""",0,2,0,2,0,"Exclude","Exclude"
"NCT03286491","Development of Clinical Decision Support System to Define 30 Day Adverse Clinical Events (Non Fatal Myocardial Infarction; Cardiac Related Death or Coronary Intervention) for Patients Presenting to Emergency Department With Acute Coronary Syndrome; Clinical Decision Support System to Define 30 Day Adverse Clinical Events for Emergency Department Acute Coronary Syndromes","rayyan-325727845","Development of Clinical Decision Support System to Define 30 Day Adverse Clinical Events (Non Fatal Myocardial Infarction; Cardiac Related Death or Coronary Intervention) for Patients Presenting to Emergency Department With Acute Coronary Syndrome; Clinical Decision Support System to Define 30 Day Adverse Clinical Events for Emergency Department Acute Coronary Syndromes","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Excluded""} | RAYYAN-LABELS: development | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""Rex""=>[""DISCUSSED - DECISION:INCLUDE""]}","""Nicole""=>""Included"", ""dn.borg""=>""Excluded"", ""Rex""=>[""DISCUSSED - DECISION:INCLUDE""]",1,1,0,2,0,"Include","Include"
"NCT03290508","Long-Term Prospective Registry to Evaluate Treatment Decisions and Clinical Outcomes in Patients With Favorable Intermediate-Risk Localized Prostate Cancer Following Cell Cycle Progression (CCP) Testing (ProlarisÂ® Test); Long-term Study to Evaluate and Clinical Outcomes in Patients With Favorable Intermediate Risk Localized Prostate Cancer","rayyan-325727846","Long-Term Prospective Registry to Evaluate Treatment Decisions and Clinical Outcomes in Patients With Favorable Intermediate-Risk Localized Prostate Cancer Following Cell Cycle Progression (CCP) Testing (ProlarisÃ‚Â® Test); Long-term Study to Evaluate and Clinical Outcomes in Patients With Favorable Intermediate Risk Localized Prostate Cancer","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""dn.borg""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design","""Nicole""=>""Excluded"", ""dn.borg""=>""Excluded""",0,2,0,2,0,"Exclude","Exclude"
"NCT03303755","Elaboration; Development and Validation of Predictive Models of Weight and Height for the Evaluation of the Growth of Children and Adolescents With Cerebral Palsy; Predictive Models of Weight and Height for the Evaluation of the Growth of Children and Adolescents With Cerebral Palsy","rayyan-325727847","Elaboration; Development and Validation of Predictive Models of Weight and Height for the Evaluation of the Growth of Children and Adolescents With Cerebral Palsy; Predictive Models of Weight and Height for the Evaluation of the Growth of Children and Adolescents With Cerebral Palsy","RAYYAN-INCLUSION: {""Nicole""=>""Maybe"", ""a.barnett""=>""Excluded"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Diagnostic,Development | RAYYAN-EXCLUSION-REASONS: wrong outcome | USER-NOTES: {""Nicole""=>[""is a prediction model but is unclear if the outcome is related to diagnosis or prognosis.""], ""dn.borg""=>[""Trying to predict weight and height""], ""Rex""=>[""DISCUSSED - DECISION:INCLUDE""]}","""Nicole""=>""Maybe"", ""a.barnett""=>""Excluded"", ""dn.borg""=>""Included"", ""Nicole""=>[""is a prediction model but is unclear if the outcome is related to diagnosis or prognosis.""], ""dn.borg""=>[""Trying to predict weight and height""], ""Rex""=>[""DISCUSSED - DECISION:INCLUDE""]",1,1,1,2,0,"Include","Include"
