NCT,PMID,title,match,protocol,biomarker,mutivariable,other
NCT01802398,30529112,Comparison of 30-Day Serious Adverse Clinical Events for Elderly Patients Presenting to the Emergency Department With Near-Syncope Versus Syncope.,0,,,,1
NCT01802398,30691921,Prevalence of Pulmonary Embolism Among Emergency Department Patients With Syncope: A Multicenter Prospective Cohort Study.,0,,,,1
NCT01802398,30721554,Do High-sensitivity Troponin and Natriuretic Peptide Predict Death or Serious Cardiac Outcomes After Syncope?,0,,,1,
NCT01802398,31080027,Clinical Benefit of Hospitalization for Older Adults With Unexplained Syncope: A Propensity-Matched Analysis.,0,,,,1
NCT01802398,31668571,Risk Stratification of Older Adults Who Present to the Emergency Department With Syncope: The FAINT Score.,1,,,,
NCT01802398,33504514,Development of an electrocardiogram-based risk calculator for a cardiac cause of syncope.,1,,,,
NCT01698632,30737137,"Risk of complications in patients with conservatively managed ovarian tumours (IOTA5): a 2-year interim analysis of a multicentre, prospective, cohort study.",0,,,,1
NCT01698632,32732303,Validation of models to diagnose ovarian cancer in patients managed surgically or conservatively: multicentre cohort study.,1,,,,
NCT01587573,27411053,Validation of Reference Genes for Oral Cancer Detection Panels in a Prospective Blinded Cohort.,0,,,,1
NCT01582763,28406555,International Guillain-Barré Syndrome Outcome Study: protocol of a prospective observational cohort study on clinical and biological predictors of disease course and outcome in Guillain-Barré syndrome.,0,1,,,
NCT01452802,26483097,Risk Assessment and Comparative Effectiveness of Left Ventricular Assist Device and Medical Management in Ambulatory Heart Failure Patients: Results From the ROADMAP Study.,0,,,,1
NCT01452802,28396040,Risk Assessment and Comparative Effectiveness of Left Ventricular Assist Device and Medical Management in Ambulatory Heart Failure Patients: The ROADMAP Study 2-Year Results.,0,,,,1
NCT01452802,28465311,Accuracy of Seattle Heart Failure Model and HeartMate II Risk Score in Non-Inotrope-Dependent Advanced Heart Failure Patients: Insights From the ROADMAP Study (Risk Assessment and Comparative Effectiveness of Left Ventricular Assist Device and Medical Management in Ambulatory Heart Failure Patients).,1,,,,
NCT01452802,28611126,Patient-Reported Health-Related Quality of Life Is a Predictor of Outcomes in Ambulatory Heart Failure Patients Treated With Left Ventricular Assist Device Compared With Medical Management: Results From the ROADMAP Study (Risk Assessment and Comparative Effectiveness of Left Ventricular Assist Device and Medical Management).,0,,,,1
NCT01392365,28682807,Development and Validation of a Novel Prediction Model for Differential Diagnosis Between Crohn's Disease and Intestinal Tuberculosis.,1,,,,
NCT01364168,22928669,Prediction of vascular risk after stroke - protocol and pilot data of the Prospective Cohort with Incident Stroke (PROSCIS).,0,1,,,
NCT01363856,22928669,Prediction of vascular risk after stroke - protocol and pilot data of the Prospective Cohort with Incident Stroke (PROSCIS).,2,,,,
NCT01363856,31526121,Serum Anti-NMDA (N-Methyl-D-Aspartate)-Receptor Antibodies and Long-Term Clinical Outcome After Stroke (PROSCIS-B).,0,,,,1
NCT01363856,32279621,High-Sensitivity Cardiac Troponin T and Cognitive Function in Patients With Ischemic Stroke.,0,,1,,
NCT01363856,33184230,Endothelial and Leukocyte-Derived Microvesicles and Cardiovascular Risk After Stroke: PROSCIS-B.,0,,,1,
NCT01363856,33982599,High-Sensitivity Cardiac Troponin T and Recurrent Vascular Events After First Ischemic Stroke.,0,,1,,
NCT01357057,22363051,An admission bioclinical score to predict 1-year outcomes in patients undergoing aneurysm coiling.,1,,,,
NCT01353547,28114441,Assessment of Early Evidence of Multiple Sclerosis in a Prospective Study of Asymptomatic High-Risk Family Members.,0,,,,1
NCT01353131,24485635,Infiltrated atrial fat characterizes underlying atrial fibrillation substrate in patients at risk as defined by the ARIC atrial fibrillation risk score.,0,,,,1
NCT01353131,24620844,Number of P-wave fragmentations on P-SAECG correlates with infiltrated atrial fat.,0,,,,1
NCT01353131,26806840,"Screening for Cardiac Magnetic Resonance Scar Features by 12-Lead ECG, in Patients with Preserved Ejection Fraction.",0,,,,1
NCT01346709,30431500,Development of a prediction model for postoperative pneumonia: A multicentre prospective observational study.,1,,,,
NCT01325883,27589870,The effect of neoadjuvant chemotherapy and chemoradiotherapy on exercise capacity and outcome following upper gastrointestinal cancer surgery: an observational cohort study.,0,1,,,
NCT01276678,24763965,Statin therapy and thromboxane generation in patients with coronary artery disease treated with high-dose aspirin.,0,,1,,
NCT01276678,30626544,HDL3-C is a Marker of Coronary Artery Disease Severity and Inflammation in Patients on Statin Therapy.,0,,1,,
NCT01276678,31218482,Gender differences in thrombogenicity among patients with angina and non-obstructive coronary artery disease.,0,,,,1
NCT01166360,23391200,Growth differentiation factor 15: a novel risk marker adjunct to the EuroSCORE for risk stratification in cardiac surgery patients.,1,,,,
NCT01166360,27717384,Preoperative plasma growth-differentiation factor-15 for prediction of acute kidney injury in patients undergoing cardiac surgery.,1,,,,
NCT01161381,26937681,Evaluation of a Decision Support System for Obstructive Sleep Apnea with Nonlinear Analysis of Respiratory Signals.,1,,,,
NCT00969657,24309199,International data-sharing for radiotherapy research: an open-source based infrastructure for multicentric clinical data mining.,0,,,,1
NCT00961389,22323509,Development and validation of PRE-DELIRIC (PREdiction of DELIRium in ICu patients) delirium prediction model for intensive care patients: observational multicentre study.,1,,,,
NCT00821379,22633255,High singleton live birth rate confirmed after ovulation induction in women with anovulatory polycystic ovary syndrome: validation of a prediction model for clinical practice.,1,,,,
NCT00821379,28228318,Endocrine and cardiometabolic cord blood characteristics of offspring born to mothers with and without polycystic ovary syndrome.,0,,,,1
NCT00821379,28778282,Increased rates of complications in singleton pregnancies of women previously diagnosed with polycystic ovary syndrome predominantly in the hyperandrogenic phenotype.,0,,,,1
NCT00821379,30590587,Pre-Conception Characteristics Predict Obstetrical and Neonatal Outcomes in Women With Polycystic Ovary Syndrome.,0,,,1,
NCT00821379,20943702,Sex hormone-binding globulin concentrations before conception as a predictor for gestational diabetes in women with polycystic ovary syndrome.,0,,1,,
NCT00821379,24777850,Preconception predictors of gestational diabetes: a multicentre prospective cohort study on the predominant complication of pregnancy in polycystic ovary syndrome.,1,,,,
NCT00821379,26498178,Placental characteristics in women with polycystic ovary syndrome.,0,,,,1
NCT00821379,23739218,Fasting glucose measurement as a potential first step screening for glucose metabolism abnormalities in women with anovulatory polycystic ovary syndrome.,0,,,,1
NCT00821379,25840428,Insulin action in women with polycystic ovary syndrome and its relation to gestational diabetes.,0,,,,1
NCT00809575,26404501,"Prognostic value of self-reported fatigue on overall survival in patients with myelodysplastic syndromes: a multicentre, prospective, observational, cohort study.",0,,,1,
NCT00604773,21426560,Urinary protein profiling in hyperactive delirium and non-delirium cardiac surgery ICU patients.,0,,,,1
NCT00604773,22323509,Development and validation of PRE-DELIRIC (PREdiction of DELIRium in ICu patients) delirium prediction model for intensive care patients: observational multicentre study.,0,,,,duplicate
NCT00604773,22206727,Biomarkers associated with delirium in critically ill patients and their relation with long-term subjective cognitive dysfunction; indications for different pathways governing delirium in inflamed and noninflamed patients.,0,,1,,
NCT00258869,19846634,Multiplex PCR to diagnose bloodstream infections in patients admitted from the emergency department with sepsis.,0,,,,1
NCT00258869,20370777,Disease progression in hemodynamically stable patients presenting to the emergency department with sepsis.,0,,,1,
NCT00258869,25538794,An integrated transcriptome and expressed variant analysis of sepsis survival and death.,0,,,,1
NCT00258869,33938716,Discriminating Bacterial and Viral Infection Using a Rapid Host Gene Expression Test.,2,,,,
NCT00258869,34150923,"Rapid, Sample-to-Answer Host Gene Expression Test to Diagnose Viral Infection.",2,,,,
NCT00119522,20684896,Wheelchair-related falls in veterans with spinal cord injury residing in the community: a prospective cohort study.,0,,,1,
NCT00119522,15839290,Wheelchair-related falls: current evidence and directions for improved quality care.,0,,,,1
NCT00092235,28797782,Predictors for Permanent Discontinuation of Systemic Immunosuppression in Severely Affected Chronic Graft-Versus-Host Disease Patients.,0,,,1,
NCT00092235,27374829,Vitamin D levels and their associations with survival and major disease outcomes in a large cohort of patients with chronic graft-vs-host disease.,0,,,1,
NCT00092235,33526918,Predictors of hematologic malignancy relapse in patients with advanced chronic graft-versus-host disease.,0,,,1,
NCT00092235,26088932,Predictive models for ocular chronic graft-versus-host disease diagnosis and disease activity in transplant clinical practice.,1,,,,
